,timestamp,soc,voltage,current
2657,01-01-1970 00:00,0,0,0
25801,01-01-1970 00:00,0,0,0
71954,09-11-2021 07:05,59,52.3,0
71955,09-11-2021 07:05,93,57.3,0
71956,09-11-2021 07:07,93,56.7,12.8
71957,09-11-2021 07:07,93,57.1,2.9
71958,09-11-2021 07:07,93,57.1,0
71959,09-11-2021 07:09,93,57.1,0
71960,09-11-2021 07:09,93,57.1,0
71961,09-11-2021 07:11,93,57.2,0
71962,09-11-2021 07:11,93,57.2,0
71963,09-11-2021 07:14,93,57.2,0
71964,09-11-2021 07:14,93,57.2,0
71965,09-11-2021 07:16,93,57.2,0
71966,09-11-2021 07:16,93,57.2,0
71968,09-11-2021 07:16,93,57.2,0
71967,09-11-2021 07:18,93,57.2,0
71970,09-11-2021 07:18,93,57.2,0
71969,09-11-2021 07:20,92,56.4,22.9
71971,09-11-2021 07:20,92,56.5,15.3
71972,09-11-2021 07:22,92,56.6,11.2
71973,09-11-2021 07:22,92,56.8,0.5
71974,09-11-2021 07:25,91,56.5,6.7
71975,09-11-2021 07:25,91,56.3,11.8
71976,09-11-2021 07:27,91,56.7,0.7
71977,09-11-2021 07:27,91,56.6,0.7
71978,09-11-2021 07:27,90,56.3,8.5
71979,09-11-2021 07:29,90,56.3,7.1
71980,09-11-2021 07:29,90,56.1,12.5
71981,09-11-2021 07:31,90,56.2,8
71982,09-11-2021 07:31,90,56.2,8.1
71983,09-11-2021 07:33,89,56,14.3
71986,09-11-2021 07:33,89,56.4,0
71984,09-11-2021 07:35,89,56.4,0.7
71985,09-11-2021 07:35,89,56.5,0
71987,09-11-2021 07:38,89,56.5,0
71988,09-11-2021 07:38,89,56.5,0
71989,09-11-2021 07:38,89,56.5,0
71990,09-11-2021 07:40,89,56.5,0
71991,09-11-2021 07:40,89,56.5,0
71992,09-11-2021 07:42,89,56.5,0
71993,09-11-2021 07:42,89,56.5,0
71994,09-11-2021 07:44,89,56.5,0
71995,09-11-2021 07:44,89,56.5,0
71996,09-11-2021 07:46,89,56.5,0
71997,09-11-2021 07:46,89,55.9,15.5
71998,09-11-2021 07:49,88,55.6,16.3
71999,09-11-2021 07:49,89,56,6.7
72000,09-11-2021 07:49,88,56,6
72001,09-11-2021 07:51,88,55.6,13.5
72002,09-11-2021 07:57,86,55.6,0
72003,09-11-2021 08:06,83,54.9,11.5
72004,09-11-2021 08:15,81,54.5,12.7
72005,09-11-2021 08:15,81,54.5,0
72006,09-11-2021 08:15,81,54.4,10.6
72007,09-11-2021 08:21,79,54.5,0
72008,09-11-2021 08:21,78,54,13.6
72009,09-11-2021 08:21,78,54.4,0.3
72010,09-11-2021 08:24,78,54.2,4.5
72011,09-11-2021 08:24,78,54.4,0
72012,09-11-2021 08:26,77,53.9,12.2
72013,09-11-2021 08:26,77,54.3,0.2
72014,09-11-2021 08:26,77,54.3,0
72015,09-11-2021 08:28,77,54.4,0.4
72016,09-11-2021 08:28,77,53.7,12.4
72017,09-11-2021 08:30,76,54,0
72018,09-11-2021 08:30,76,54,0
72019,09-11-2021 08:32,76,54.2,0
72020,09-11-2021 08:32,76,54.2,0
72021,09-11-2021 08:34,76,54.2,0
72023,09-11-2021 08:34,76,54.2,0
72022,09-11-2021 08:37,76,54.2,0
72024,09-11-2021 08:37,76,53.8,9.8
72025,09-11-2021 08:37,76,54,0
72026,09-11-2021 08:39,76,54,3.2
72028,09-11-2021 08:39,75,54,2.2
72027,09-11-2021 08:41,75,54.1,0
72029,09-11-2021 08:41,75,54.1,1.5
72030,09-11-2021 08:43,75,54.1,0
72031,09-11-2021 08:43,75,54.1,0
72032,09-11-2021 08:45,75,54.1,0
72034,09-11-2021 08:45,75,54.1,0
72033,09-11-2021 08:48,75,53.6,0
72035,09-11-2021 08:48,75,54.1,0.2
72036,09-11-2021 08:50,75,54.1,0
72037,09-11-2021 08:50,75,54.1,0
72038,09-11-2021 08:52,75,54.1,0
72039,09-11-2021 08:52,75,54.1,0
72040,09-11-2021 08:54,75,54.1,0
72041,09-11-2021 08:58,75,53.2,0
72042,09-11-2021 08:58,75,53.4,16.6
72043,09-11-2021 09:01,75,53.9,0.2
72044,09-11-2021 09:01,74,53.9,0
72046,09-11-2021 09:01,74,53.9,0
72045,09-11-2021 09:03,74,53.6,7
72047,09-11-2021 09:03,74,53.8,0
72048,09-11-2021 09:05,74,53.3,10.1
72049,09-11-2021 09:07,73,53.6,0
72050,09-11-2021 09:09,72,52.8,14.5
72051,09-11-2021 09:12,71,52.8,11.7
72052,09-11-2021 09:12,71,53.3,0
72053,09-11-2021 09:12,71,53.3,0
72054,09-11-2021 09:16,70,53.3,0
72055,09-11-2021 09:16,70,52.8,10.9
72056,09-11-2021 09:18,70,53.2,0
72057,09-11-2021 09:18,70,53.2,0
72058,09-11-2021 09:20,70,53.3,0
72059,09-11-2021 09:20,70,53.3,0
72060,09-11-2021 09:27,68,52.4,12.9
72061,09-11-2021 09:31,66,52.2,12.9
72062,09-11-2021 09:31,66,51.9,14.8
72063,09-11-2021 09:33,65,52.3,0
72064,09-11-2021 09:36,65,52.4,0
72065,09-11-2021 09:36,64,52,9.5
72066,09-11-2021 09:36,64,51.8,11.4
72067,09-11-2021 09:42,62,51.7,10.2
72068,09-11-2021 09:42,62,52,0
72069,09-11-2021 09:53,60,51.2,14.5
72070,09-11-2021 09:53,59,51.2,12.6
72071,09-11-2021 09:53,59,51.6,0
72072,09-11-2021 10:00,58,51.2,7.3
72073,09-11-2021 10:00,57,50.9,16.1
72074,09-11-2021 10:02,57,51.2,6.7
72075,09-11-2021 10:02,57,51.4,0
72076,09-11-2021 10:02,57,51.4,2.9
72077,09-11-2021 10:04,57,51.1,8.7
72078,09-11-2021 10:08,55,51.3,0
72079,09-11-2021 10:08,55,50.9,10.6
72080,09-11-2021 10:13,54,51.1,0
72081,09-11-2021 10:13,54,51,4.2
72082,09-11-2021 10:15,53,51.1,0
72083,09-11-2021 10:15,54,50.7,11.6
72084,09-11-2021 10:17,53,50.4,19.9
72085,09-11-2021 10:21,51,50.9,0.2
72086,09-11-2021 10:24,51,50.3,18.3
72087,09-11-2021 10:26,50,50.4,14.5
72088,09-11-2021 10:30,48,50.7,0.3
72089,09-11-2021 10:30,48,50.2,14.5
72090,09-11-2021 10:32,47,50.8,0.2
72091,09-11-2021 10:32,47,50.7,2
72092,09-11-2021 10:35,47,50.8,0
72093,09-11-2021 10:35,47,50.8,0
72094,09-11-2021 10:37,47,50.4,9.5
72095,09-11-2021 10:37,46,50.7,1.4
72096,09-11-2021 10:39,46,50.6,0.5
72097,09-11-2021 10:48,43,49.9,18.5
72098,09-11-2021 10:48,43,50.6,0
72099,09-11-2021 10:50,43,49.8,21.8
72100,09-11-2021 10:52,42,50.1,12.5
72101,09-11-2021 10:52,43,50.5,0
72102,09-11-2021 10:56,42,50.5,0
72103,09-11-2021 10:59,42,50.6,0
72104,09-11-2021 10:59,42,50.6,0
72105,09-11-2021 11:01,42,50.6,0
72106,09-11-2021 11:07,42,50.6,0
72107,09-11-2021 11:07,42,50.6,0
72108,09-11-2021 11:10,42,50.6,0.3
72110,09-11-2021 11:10,42,50.6,0
72109,09-11-2021 11:12,42,50.6,0
72111,09-11-2021 11:12,42,50.6,0
72112,09-11-2021 11:12,42,50.6,0
72113,09-11-2021 11:14,42,49.9,22
72114,09-11-2021 11:14,41,50.5,0.8
72115,09-11-2021 11:16,41,50.4,0
72116,09-11-2021 11:23,40,49.7,19.7
72117,09-11-2021 11:23,39,49.7,18.5
72118,09-11-2021 11:25,38,49.7,16.2
72119,09-11-2021 11:25,38,49.8,12.4
72120,09-11-2021 11:27,37,50.2,0
72122,09-11-2021 11:27,37,50.2,0.2
72121,09-11-2021 11:29,37,50.1,1.7
72123,09-11-2021 11:29,36,49.9,6.6
72124,09-11-2021 11:36,35,49.5,16.5
72125,09-11-2021 11:38,34,50.1,0
72126,09-11-2021 11:38,34,49.8,9.1
72127,09-11-2021 11:40,34,49.7,10.1
72128,09-11-2021 11:40,33,49.3,22.5
72129,09-11-2021 11:42,33,49.5,13.5
72130,09-11-2021 11:42,33,50,0
72131,09-11-2021 11:44,33,50,0
19898,10-11-2021 05:33,33,50.1,0
19899,10-11-2021 05:33,91,57,0
19900,10-11-2021 05:33,91,57,0
19901,10-11-2021 05:33,91,56.5,10.7
19902,10-11-2021 05:35,91,56.2,18.4
19903,10-11-2021 05:35,90,56.9,0
19904,10-11-2021 05:37,90,56.8,0.4
19905,10-11-2021 05:39,90,56.8,0
19906,10-11-2021 05:39,90,56.7,0
19907,10-11-2021 05:39,90,56.7,0.6
19908,10-11-2021 05:41,90,56.7,0
19909,10-11-2021 05:41,90,56.6,0.8
19910,10-11-2021 05:44,89,56.2,10.4
19911,10-11-2021 05:46,89,56.4,5.4
19912,10-11-2021 05:46,89,56.4,1.5
19913,10-11-2021 05:48,89,56.4,1
19914,10-11-2021 05:50,88,56,10.8
19915,10-11-2021 05:50,88,56.4,0
19916,10-11-2021 05:52,88,56.4,0
19917,10-11-2021 05:52,88,56.4,0
19918,10-11-2021 05:55,88,56.4,0
19919,10-11-2021 05:55,88,56.4,0
19920,10-11-2021 05:59,87,56.1,0
19921,10-11-2021 05:59,88,56,1.2
19922,10-11-2021 06:01,87,56,1.2
19923,10-11-2021 06:05,86,55.9,0.3
19925,10-11-2021 06:05,86,55.9,0
19924,10-11-2021 06:08,86,55.9,0
19926,10-11-2021 06:08,86,55.5,7.8
19927,10-11-2021 06:08,86,55.6,4.2
19928,10-11-2021 06:10,85,55.7,0.4
19929,10-11-2021 06:10,85,55.8,0
19930,10-11-2021 06:12,85,55.6,0.6
19931,10-11-2021 06:14,84,55.6,0
19932,10-11-2021 06:21,84,55.6,0
19933,10-11-2021 06:21,84,55.6,0
19934,10-11-2021 06:23,84,55.6,0
19935,10-11-2021 06:23,84,55.6,0
19936,10-11-2021 06:23,84,55.6,0
19937,10-11-2021 06:25,84,55.6,0
19938,10-11-2021 06:27,84,55.6,0
19939,10-11-2021 06:30,84,55.6,0
19940,10-11-2021 06:30,84,55.4,3
19941,10-11-2021 06:32,84,55.6,0
19942,10-11-2021 06:32,84,54.8,22
19943,10-11-2021 06:34,84,54.8,14.4
19944,10-11-2021 06:36,83,55.1,3.3
19945,10-11-2021 06:38,83,55.2,0.5
19946,10-11-2021 06:38,83,55.2,0.2
19947,10-11-2021 06:40,82,55.1,0.6
19948,10-11-2021 06:43,82,55.2,0
19949,10-11-2021 06:43,82,55.1,0
19950,10-11-2021 06:45,82,55,1
19951,10-11-2021 06:47,81,54.7,6.7
19952,10-11-2021 06:47,81,55,0
19953,10-11-2021 06:49,81,55,0
19954,10-11-2021 06:49,81,55.1,0
19955,10-11-2021 06:51,81,55.1,0
19956,10-11-2021 06:51,81,55.1,0
19957,10-11-2021 06:54,81,55.1,0
19958,10-11-2021 06:54,81,55.1,0
19959,10-11-2021 06:56,81,55.1,0
19960,10-11-2021 06:56,81,55.1,0
19961,10-11-2021 06:56,81,55.1,0
19962,10-11-2021 06:58,81,55.1,0
19963,10-11-2021 06:58,81,55.1,0
19964,10-11-2021 07:11,81,55.1,0
19965,10-11-2021 07:11,81,55.1,0
19966,10-11-2021 07:13,81,55.1,0
19967,10-11-2021 07:15,81,55.1,0
19969,10-11-2021 07:20,81,55.1,0
19968,10-11-2021 07:22,81,55.1,0
19970,10-11-2021 07:22,81,55.1,0
19971,10-11-2021 07:26,81,54.8,0.7
19972,10-11-2021 07:26,81,55,0
19973,10-11-2021 07:29,80,54.8,0.7
19974,10-11-2021 07:29,80,54.8,1.2
19975,10-11-2021 07:31,80,54.6,1.1
19976,10-11-2021 07:31,80,54.8,0
19977,10-11-2021 07:31,80,54.7,0
19978,10-11-2021 07:33,79,54.5,0.7
19979,10-11-2021 07:33,79,53.8,22.1
19980,10-11-2021 07:35,79,54.6,0
19981,10-11-2021 07:35,79,54,17.8
19982,10-11-2021 07:37,79,54.4,1.4
19983,10-11-2021 07:37,78,54.4,0
19984,10-11-2021 07:39,78,54.3,1.1
19985,10-11-2021 07:42,78,54.3,0.8
19986,10-11-2021 07:42,77,54.2,0.2
19987,10-11-2021 07:42,77,54.1,1.7
19988,10-11-2021 07:44,77,53.6,19.8
19989,10-11-2021 07:44,77,54.1,0.3
19990,10-11-2021 07:46,76,53.8,6.9
19991,10-11-2021 07:46,76,53.2,20.6
19992,10-11-2021 07:48,75,53.3,0
19993,10-11-2021 07:50,75,54,0
19994,10-11-2021 07:50,75,53.4,0
